id,Exited_Prediction,Exited_Probability
165034,0,0.05
165035,1,0.63
165036,0,0.08
165037,0,0.32
165038,0,0.2
165039,0,0.1
165040,0,0.2
165041,0,0.17
165042,1,0.66
165043,0,0.01
165044,0,0.25
165045,0,0.04
165046,0,0.02
165047,0,0.3
165048,0,0.4
165049,0,0.09
165050,0,0.36
165051,0,0.37
165052,0,0.05
165053,0,0.26
165054,0,0.03
165055,0,0.28
165056,1,0.55
165057,0,0.2
165058,0,0.14
165059,0,0.22
165060,1,0.7
165061,1,0.62
165062,0,0.25
165063,1,0.53
165064,0,0.12
165065,0,0.08
165066,0,0.24
165067,0,0.26
165068,0,0.15
165069,0,0.05
165070,1,0.71
165071,0,0.02
165072,0,0.43
165073,1,0.69
165074,1,0.68
165075,0,0.25
165076,0,0.33
165077,0,0.05
165078,0,0.5
165079,0,0.36
165080,0,0.01
165081,0,0.07
165082,0,0.01
165083,0,0.33
165084,0,0.16
165085,0,0.01
165086,0,0.04
165087,1,0.61
165088,0,0.09
165089,0,0.25
165090,0,0.33
165091,0,0.06
165092,0,0.07
165093,0,0.18
165094,0,0.04
165095,0,0.31
165096,0,0.39
165097,0,0.29
165098,0,0.22
165099,0,0.03
165100,1,0.64
165101,0,0.2
165102,0,0.19
165103,0,0.34
165104,0,0.39
165105,0,0.41
165106,0,0.45
165107,0,0.18
165108,0,0.09
165109,0,0.35
165110,0,0.24
165111,0,0.06
165112,0,0.21
165113,0,0.07
165114,0,0.07
165115,0,0.09
165116,0,0.29
165117,0,0.19
165118,0,0.46
165119,0,0.23
165120,0,0.31
165121,0,0.38
165122,0,0.32
165123,0,0.21
165124,0,0.26
165125,0,0.21
165126,0,0.13
165127,0,0.04
165128,0,0.03
165129,0,0.02
165130,1,0.91
165131,0,0.04
165132,0,0.24
165133,1,0.66
165134,0,0.07
165135,0,0.14
165136,0,0.05
165137,1,0.53
165138,1,0.7
165139,0,0.26
165140,0,0.24
165141,0,0.03
165142,0,0.01
165143,0,0.4
165144,0,0.15
165145,0,0.29
165146,0,0.21
165147,0,0.07
165148,0,0.22
165149,0,0.05
165150,0,0.06
165151,1,0.66
165152,0,0.39
165153,0,0.15
165154,0,0.04
165155,0,0.11
165156,0,0.03
165157,0,0.01
165158,1,0.55
165159,0,0.19
165160,0,0.07
165161,0,0.14
165162,0,0.39
165163,0,0.06
165164,0,0.0
165165,0,0.3
165166,1,0.65
165167,0,0.08
165168,0,0.06
165169,0,0.15
165170,0,0.18
165171,0,0.24
165172,1,0.7
165173,0,0.1
165174,0,0.01
165175,0,0.17
165176,0,0.08
165177,0,0.2
165178,1,0.56
165179,1,0.65
165180,0,0.07
165181,1,0.56
165182,0,0.18
165183,0,0.1
165184,0,0.1
165185,0,0.16
165186,0,0.0
165187,1,0.9
165188,1,0.76
165189,0,0.09
165190,0,0.02
165191,0,0.21
165192,0,0.39
165193,0,0.43
165194,0,0.3
165195,0,0.38
165196,0,0.32
165197,0,0.37
165198,1,0.61
165199,0,0.2
165200,0,0.4
165201,0,0.38
165202,0,0.4
165203,1,0.7
165204,0,0.43
165205,0,0.04
165206,0,0.25
165207,0,0.2
165208,0,0.06
165209,0,0.28
165210,0,0.45
165211,1,0.79
165212,0,0.18
165213,0,0.08
165214,1,0.64
165215,0,0.5
165216,0,0.11
165217,0,0.01
165218,0,0.02
165219,1,0.59
165220,0,0.27
165221,0,0.07
165222,0,0.25
165223,0,0.15
165224,0,0.33
165225,1,0.72
165226,1,0.57
165227,0,0.36
165228,0,0.2
165229,0,0.29
165230,1,0.82
165231,0,0.04
165232,0,0.0
165233,0,0.04
165234,0,0.27
165235,0,0.03
165236,0,0.35
165237,0,0.0
165238,0,0.19
165239,0,0.04
165240,0,0.03
165241,0,0.0
165242,0,0.22
165243,0,0.09
165244,0,0.44
165245,0,0.01
165246,0,0.11
165247,0,0.01
165248,0,0.11
165249,0,0.28
165250,0,0.05
165251,0,0.01
165252,0,0.28
165253,0,0.35
165254,0,0.02
165255,0,0.22
165256,0,0.35
165257,0,0.25
165258,1,0.68
165259,0,0.42
165260,0,0.13
165261,1,0.53
165262,1,0.56
165263,0,0.01
165264,0,0.2
165265,0,0.14
165266,0,0.02
165267,1,0.59
165268,0,0.14
165269,1,0.64
165270,0,0.29
165271,0,0.01
165272,1,0.8
165273,0,0.06
165274,0,0.12
165275,0,0.34
165276,0,0.35
165277,0,0.41
165278,1,0.73
165279,0,0.37
165280,0,0.06
165281,0,0.02
165282,0,0.37
165283,0,0.01
165284,0,0.17
165285,0,0.27
165286,0,0.25
165287,0,0.02
165288,0,0.06
